paragraph_ID	sentence_ID	token_ID_within_sentence	token_ID_within_document	word	lemma	byte_onset	byte_offset	POS_tag	fine_POS_tag	dependency_relation	syntactic_head_ID	event
0	0	0	0	Down	down	0	4	ADP	IN	prep	7	O
0	0	1	1	the	the	5	8	DET	DT	det	5	O
0	0	2	2	Rabbit	Rabbit	9	15	PROPN	NNP	compound	5	O
0	0	3	3	-	-	15	16	PUNCT	HYPH	punct	5	O
0	0	4	4	Hole	Hole	16	20	PROPN	NNP	compound	5	O
0	0	5	5	Alice	Alice	21	26	PROPN	NNP	nsubj	7	O
0	0	6	6	was	be	27	30	AUX	VBD	aux	7	O
0	0	7	7	beginning	begin	31	40	VERB	VBG	ROOT	7	O
0	0	8	8	to	to	41	43	PART	TO	aux	9	O
0	0	9	9	get	get	44	47	VERB	VB	xcomp	7	O
0	0	10	10	very	very	48	52	ADV	RB	advmod	11	O
0	0	11	11	tired	tired	53	58	ADJ	JJ	acomp	9	O
0	0	12	12	of	of	59	61	ADP	IN	prep	11	O
0	0	13	13	sitting	sit	62	69	VERB	VBG	pcomp	12	O
0	0	14	14	by	by	70	72	ADP	IN	prep	13	O
0	0	15	15	her	her	73	76	PRON	PRP$	poss	16	O
0	0	16	16	sister	sister	77	83	NOUN	NN	pobj	14	O
0	0	17	17	on	on	84	86	ADP	IN	prep	16	O
0	0	18	18	the	the	87	90	DET	DT	det	19	O
0	0	19	19	bank	bank	91	95	NOUN	NN	pobj	17	O
0	0	20	20	,	,	96	97	PUNCT	,	punct	9	O
0	0	21	21	and	and	98	101	CCONJ	CC	cc	7	O
0	0	22	22	of	of	102	104	ADP	IN	prep	33	O
0	0	23	23	having	have	105	111	VERB	VBG	pcomp	22	O
0	0	24	24	nothing	nothing	112	119	PRON	NN	dobj	23	O
0	0	25	25	to	to	120	122	PART	TO	aux	26	O
0	0	26	26	do	do	123	125	VERB	VB	relcl	24	O
0	0	27	27	:	:	126	127	PUNCT	:	punct	33	O
0	0	28	28	once	once	128	132	ADV	RB	advmod	33	O
0	0	29	29	or	or	133	135	CCONJ	CC	cc	28	O
0	0	30	30	twice	twice	136	141	ADV	RB	conj	28	O
0	0	31	31	she	she	142	145	PRON	PRP	nsubj	33	O
0	0	32	32	had	have	146	149	AUX	VBD	aux	33	O
0	0	33	33	peeped	peep	150	156	VERB	VBN	conj	7	O
0	0	34	34	into	into	157	161	ADP	IN	prep	33	O
0	0	35	35	the	the	162	165	DET	DT	det	36	O
0	0	36	36	book	book	166	170	NOUN	NN	pobj	34	O
0	0	37	37	her	her	171	174	PRON	PRP$	poss	38	O
0	0	38	38	sister	sister	175	181	NOUN	NN	nsubj	40	O
0	0	39	39	was	be	182	185	AUX	VBD	aux	40	O
0	0	40	40	reading	read	186	193	VERB	VBG	relcl	36	O
0	0	41	41	,	,	194	195	PUNCT	,	punct	33	O
0	0	42	42	but	but	196	199	CCONJ	CC	cc	7	O
0	0	43	43	it	it	200	202	PRON	PRP	nsubj	44	O
0	0	44	44	had	have	203	206	VERB	VBD	conj	7	O
0	0	45	45	no	no	207	209	DET	DT	det	46	O
0	0	46	46	pictures	picture	210	218	NOUN	NNS	dobj	44	O
0	0	47	47	or	or	219	221	CCONJ	CC	cc	46	O
0	0	48	48	conversations	conversation	222	235	NOUN	NNS	conj	46	O
0	0	49	49	in	in	236	238	ADP	IN	prep	46	O
0	0	50	50	it	it	239	241	PRON	PRP	pobj	49	O
0	0	51	51	,	,	242	243	PUNCT	,	punct	44	O
0	0	52	52	‘	'	244	245	PUNCT	``	punct	44	O
0	0	53	53	and	and	246	249	CCONJ	CC	cc	55	O
0	0	54	54	what	what	250	254	PRON	WP	attr	55	O
0	0	55	55	is	be	255	257	AUX	VBZ	ccomp	44	O
0	0	56	56	the	the	258	261	DET	DT	det	57	O
0	0	57	57	use	use	262	265	NOUN	NN	nsubj	55	O
0	0	58	58	of	of	266	268	ADP	IN	prep	57	O
0	0	59	59	a	a	269	270	DET	DT	det	60	O
0	0	60	60	book	book	271	275	NOUN	NN	pobj	58	O
0	0	61	61	,	,	276	277	PUNCT	,	punct	55	O
0	0	62	62	’	'	278	279	PUNCT	''	punct	63	O
0	0	63	63	thought	think	280	287	VERB	VBD	advcl	7	O
0	0	64	64	Alice	Alice	288	293	PROPN	NNP	nsubj	66	O
0	0	65	65	‘	'	294	295	PUNCT	``	punct	66	O
0	0	66	66	without	without	296	303	ADP	IN	prep	63	O
0	0	67	67	pictures	picture	304	312	NOUN	NNS	pobj	66	O
0	0	68	68	or	or	313	315	CCONJ	CC	cc	67	O
0	0	69	69	conversations	conversation	316	329	NOUN	NNS	conj	67	O
0	0	70	70	?	?	330	331	PUNCT	.	punct	63	O
0	0	71	71	’	'	332	333	PUNCT	''	punct	7	O
0	1	0	72	So	so	334	336	ADV	RB	advmod	75	O
0	1	1	73	she	she	337	340	PRON	PRP	nsubj	75	O
0	1	2	74	was	be	341	344	AUX	VBD	aux	75	O
0	1	3	75	considering	consider	345	356	VERB	VBG	ROOT	75	O
0	1	4	76	in	in	357	359	ADP	IN	prep	75	O
0	1	5	77	her	her	360	363	PRON	PRP$	poss	79	O
0	1	6	78	own	own	364	367	ADJ	JJ	amod	79	O
0	1	7	79	mind	mind	368	372	NOUN	NN	pobj	76	O
0	1	8	80	(	(	373	374	PUNCT	-LRB-	punct	79	O
0	1	9	81	as	as	375	377	ADV	RB	advmod	83	O
0	1	10	82	well	well	378	382	ADV	RB	advmod	83	O
0	1	11	83	as	as	383	385	SCONJ	IN	mark	91	O
0	1	12	84	she	she	386	389	PRON	PRP	nsubj	91	O
